ema_fast,ema_slow,atr_min,k_sl,k_tp,atr_pct_min,min_trend_strength,trades,win_rate,avg_r,total_return_pct,max_dd_pct,profit_factor,score
50,200,5.0,1.0,2.5,0.3,0.01,107,27.102803738317753,-0.05140186915887973,-14.861973885432544,44.25375761978276,0.9117692808739356,-9.102078174731489
50,200,5.0,1.0,4.0,0.3,0.01,85,16.470588235294116,-0.17647058823529657,-30.018386563776744,52.82706924583134,0.7917928187702205,-9.359226086896117
50,200,5.0,2.0,4.0,0.3,0.005,72,31.944444444444443,-0.041666666666665624,-8.410747871408454,28.387864088678334,0.919290533055631,-9.46449043419193
50,200,5.0,1.5,4.0,0.5,0.01,49,24.489795918367346,-0.10204081632653028,-11.660540971299849,28.861398858750352,0.8449896625134301,-9.894332221472187
50,200,10.0,2.0,4.0,0.0,0.01,46,30.434782608695656,-0.08695652173913233,-9.280390458587352,27.791521774968984,0.8637275949466532,-10.16305146648396
50,200,10.0,1.0,4.0,0.5,0.01,69,15.942028985507244,-0.2028985507246394,-27.760671470522468,43.42062084383158,0.7401512252730386,-10.192425180467781
50,200,5.0,1.0,4.0,0.5,0.01,71,15.492957746478872,-0.22535211267605804,-30.621348880289812,45.66116425841585,0.7197192786781191,-10.389907310676561
50,200,10.0,1.0,3.0,0.3,0.01,95,22.105263157894736,-0.1157894736842118,-23.76528662238082,46.792049456509545,0.8419722109805747,-11.227076413885097
50,200,5.0,1.0,3.0,0.3,0.01,99,22.22222222222222,-0.11111111111111327,-23.943407505493518,46.916368768795486,0.845483296469519,-11.340939981232923
50,200,5.0,1.0,3.0,0.5,0.01,81,22.22222222222222,-0.11111111111111326,-20.062908329550122,37.60467977308983,0.8327671747159867,-11.85603520661766
50,200,10.0,1.0,3.0,0.5,0.01,78,21.794871794871796,-0.12820512820512922,-21.47818551384837,38.70938187418931,0.815763425977747,-12.09304507062996
50,200,10.0,2.0,4.0,0.3,0.01,42,28.57142857142857,-0.1428571428571455,-12.666202994525722,29.151807079051213,0.7963617971405184,-12.414033653144104
50,200,5.0,2.0,4.0,0.3,0.01,43,27.906976744186046,-0.1627906976744212,-14.41287893463521,30.568770937470184,0.7741198420839224,-13.157868795850277
50,200,5.0,1.0,2.5,0.5,0.01,86,25.581395348837212,-0.10465116279069901,-19.715182616639403,37.59524332802459,0.8454143985261847,-13.415044996259525
50,200,10.0,1.0,2.5,0.5,0.01,83,25.301204819277107,-0.11445783132530206,-20.385536400150073,38.11630404794086,0.8356843292366014,-13.531706305057916
